query_id,product_class,query_type,split,mode,top1_iou,r1_iou_0.3,temporal_ap_0.3,r1_iou_0.5,temporal_ap_0.5,r1_iou_0.7,temporal_ap_0.7
VQ-007,Air Fryer,component,development,visual,0.000000,0,0.187342,0,0.161351,0,0.168366
VQ-008,Air Fryer,component,development,visual,0.980799,1,0.615385,1,0.615385,1,0.612013
VQ-009,Air Fryer,component,development,visual,1.000000,1,0.279079,1,0.236649,1,0.236649
VQ-010,Air Fryer,maintenance,development,visual,1.000000,1,0.241667,1,0.268519,1,0.268519
VQ-011,Air Fryer,maintenance,source_disjoint_test,visual,1.000000,1,0.481481,1,0.500000,1,0.571429
VQ-012,Air Fryer,maintenance,source_disjoint_test,visual,1.000000,1,0.280303,1,0.305785,1,0.305785
VQ-013,Air Fryer,troubleshooting,source_disjoint_test,visual,0.000000,0,0.022222,0,0.022222,0,0.022222
VQ-014,Air Fryer,troubleshooting,source_disjoint_test,visual,0.405588,1,1.000000,0,,0,
VQ-016,Air Fryer,safety,source_disjoint_test,visual,0.000000,0,0.020833,0,0.020833,0,0.023810
VQ-018,Espresso Machine,operation,development,visual,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-019,Espresso Machine,operation,development,visual,1.000000,1,0.844444,1,0.844444,1,0.844444
VQ-020,Espresso Machine,operation,development,visual,0.000000,0,0.366667,0,0.366667,0,0.366667
VQ-021,Espresso Machine,state,development,visual,0.000000,0,0.061189,0,0.061189,0,0.061189
VQ-022,Espresso Machine,state,development,visual,0.599606,1,0.805260,1,0.805260,0,0.648115
VQ-023,Espresso Machine,state,development,visual,1.000000,1,0.611111,1,0.611111,1,0.611111
VQ-024,Espresso Machine,component,development,visual,1.000000,1,0.675000,1,0.675000,1,0.750000
VQ-026,Espresso Machine,component,development,visual,0.795625,1,0.616429,1,0.684921,1,0.684921
VQ-027,Espresso Machine,maintenance,development,visual,0.795625,1,1.000000,1,1.000000,1,1.000000
VQ-029,Espresso Machine,maintenance,source_disjoint_test,visual,0.000000,0,0.500000,0,0.500000,0,
VQ-030,Espresso Machine,troubleshooting,source_disjoint_test,visual,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-035,Pressure Cooker,operation,development,visual,0.990228,1,0.400624,1,0.397253,1,0.469481
VQ-036,Pressure Cooker,operation,development,visual,0.000000,0,0.237037,0,0.291667,0,0.333333
VQ-037,Pressure Cooker,operation,development,visual,0.804350,1,0.854545,1,0.890000,1,0.852778
VQ-038,Pressure Cooker,state,development,visual,0.599254,1,0.405442,1,0.405442,0,0.290476
